max_proposals,score_threshold,recall,mean_best_iou,fp_image_rate_hard,avg_time_pos_sec,avg_time_hard_sec,tradeoff_score
500,0.75,0.76,0.5877288729098771,0.02,2.0073880052566526,0.8387530755996704,0.6998522398948669
500,0.5,0.8,0.6216421821665741,0.08,2.3009033727645876,1.0161568689346314,0.6739819325447083
1000,0.75,0.78,0.6001043508616298,0.02,4.318038239479065,1.5162537097930908,0.6736392352104187
1000,0.5,0.82,0.6171018483740507,0.1,3.1794292545318603,1.6819906759262084,0.6564114149093627
1000,0.25,0.82,0.6181720916821929,0.16,2.5465236711502075,0.836385293006897,0.6090695265769958
300,0.75,0.64,0.5831479725867142,0.02,2.2899417877197266,1.0639951419830322,0.5742011642456055
300,0.5,0.76,0.6059725763630471,0.08,5.382339997291565,1.0680463457107543,0.5723532000541688
500,0.25,0.74,0.5962842571266985,0.16,2.653045835494995,1.0344760370254518,0.5269390832901001
300,0.25,0.76,0.6080326959683807,0.14,4.924803447723389,1.1648735284805298,0.5215039310455323
100,0.25,0.64,0.559016112749178,0.1,1.5092868041992187,0.6434366035461426,0.5098142639160157
100,0.0,0.68,0.5993936093809973,0.18,1.2936557197570802,0.5901333284378052,0.4741268856048584
100,0.5,0.54,0.5356506496907808,0.06,1.4136352634429932,0.4222353172302246,0.45172729473114015
1000,0.0,0.8,0.6090768249904164,0.3,3.0672101974487305,1.1492778062820435,0.4386557960510254
100,0.75,0.46,0.47094914570354823,0.0,1.259799313545227,0.43153451442718505,0.4348040137290955
300,0.0,0.74,0.6017310548709001,0.3,1.8961591863632201,1.2318871879577638,0.4020768162727356
500,0.0,0.72,0.5941714845939705,0.3,2.5220977544784544,1.2101617574691772,0.36955804491043087
